金牌,銀牌,銅牌,性別,年份
18,13,12,43,1900,male
65,69,69,203,1904,male
20,11,11,42,1908,male
647,566,481,1694,1912,male
23,21,20,64,1920,male
27,19,18,64,1924,male
11,12,12,35,1928,male
25,26,21,72,1932,male
17,17,8,42,1936,male
23,21,13,57,1948,male
30,16,10,56,1952,male
21,15,13,49,1956,male
20,17,12,49,1960,male
19,14,17,50,1964,male
22,18,23,63,1968,male
18,21,21,60,1972,male
25,23,17,65,1976,male
0,0,0,0,1980,male
42,28,19,89,1984,male
17,18,14,49,1988,male
16,18,15,49,1992,male
18,17,11,46,1996,male
15,13,13,41,2000,male
18,20,9,47,2004,male
13,12,17,42,2008,male
14,10,11,35,2012,male
13,15,17,45,2016,male
12,13,9,34,2020,male
1,0,1,2,1924,male
1,1,1,3,1928,male
4,1,0,5,1932,male
0,0,1,1,1936,male
1,3,0,4,1948,male
2,1,1,4,1952,male
1,1,1,3,1956,male
1,1,0,2,1960,male
1,1,2,4,1964,male
0,2,0,2,1968,male
0,0,0,0,1972,male
1,1,1,3,1976,male
5,1,1,7,1980,male
3,1,0,4,1984,male
1,1,0,2,1988,male
0,1,1,2,1992,male
2,1,0,3,1994,male
2,0,1,3,1998,male
5,7,6,18,2002,male
7,4,3,14,2006,male
6,6,7,19,2010,male
4,2,4,10,2014,male
3,5,0,8,2018,male
2,4,1,7,2022,male
0,0,0,0,1956,male
0,0,0,0,1906,male
0,0,0,0,2010,male
0,0,0,0,2014,male
0,0,0,0,2018,male
0,0,0,0,2012,male
0,0,0,0,2016,male
0,0,0,0,2020,male
1,0,1,2,1900,female
2,2,2,6,1904,female
0,0,0,0,1908,female
0,0,0,0,1912,female
3,3,4,10,1920,female
6,5,4,15,1924,female
5,4,3,12,1928,female
9,7,4,20,1932,female
3,2,3,8,1936,female
4,4,2,10,1948,female
2,1,3,6,1952,female
4,5,3,12,1956,female
5,3,1,9,1960,female
7,6,7,20,1964,female
12,8,10,30,1968,female
8,5,6,19,1972,female
2,6,5,13,1976,female
0,0,0,0,1980,female
20,22,8,50,1984,female
8,4,8,20,1988,female
9,9,14,32,1992,female
8,8,10,26,1996,female
9,4,11,24,2000,female
6,12,9,27,2004,female
9,18,14,41,2008,female
19,9,12,40,2012,female
19,15,14,48,2016,female
17,16,18,51,2020,female
0,1,0,1,1924,female
0,0,1,1,1928,female
0,0,1,1,1932,female
0,0,0,0,1936,female
1,1,0,2,1948,female
2,1,0,3,1952,female
1,1,0,2,1956,female
1,3,2,6,1960,female
0,1,1,2,1964,female
1,3,1,5,1968,female
3,1,3,7,1972,female
2,2,2,6,1976,female
0,3,1,4,1980,female
1,2,0,3,1984,female
1,0,2,3,1988,female
5,2,1,8,1992,female
4,3,1,8,1994,female
3,2,2,7,1998,female
4,2,3,9,2002,female
2,3,1,6,2006,female
2,4,3,9,2010,female
4,2,4,10,2014,female
3,2,3,8,2018,female
4,4,3,11,2022,female
0,0,0,0,1956,female
0,0,0,0,1906,female
0,0,0,0,2010,female
0,0,0,0,2014,female
0,0,0,0,2018,female
0,0,0,0,2012,female
0,0,0,0,2016,female
0,0,0,0,2020,female
